day_of_week,holiday,time_in_hour,status,previous_status,amount_per_day,full,range_knn,range_rf,day_in_year
3,0,15,74,44,39,0,0,3,331
4,0,19,75,89,77,0,0,3,332
5,0,4,37,11,61,0,0,2,333
6,1,20,13,81,45,0,0,1,334
7,1,10,70,20,96,0,0,3,335
1,0,12,53,70,90,0,0,3,336
2,0,18,39,38,83,0,0,2,337
3,0,1,33,71,34,0,0,2,338
4,0,21,42,52,24,0,0,2,339
5,0,6,36,27,50,0,0,2,340
6,1,3,61,1,68,0,0,3,341
7,1,5,87,49,29,1,1,4,342
1,0,16,74,76,81,0,0,3,343
2,0,22,74,39,90,0,0,3,344
3,0,0,70,9,44,0,0,3,345
4,0,17,65,24,33,0,0,3,346
5,0,21,86,8,37,1,1,4,347
6,1,19,61,26,33,0,0,3,348
7,1,9,86,25,49,1,1,4,349
1,0,11,27,9,4,0,0,2,350
2,0,19,98,70,47,1,1,4,351
3,0,11,42,42,43,0,0,2,352
4,0,0,21,0,75,0,0,1,353
5,0,3,56,98,18,0,0,3,354
6,1,22,91,75,88,1,1,4,355
7,1,3,89,93,8,1,1,4,356
1,0,6,0,46,25,0,0,1,357
2,0,3,63,41,93,0,0,3,358
3,0,1,51,93,0,0,0,3,359
4,0,2,9,9,9,0,0,1,360
5,0,12,5,64,8,0,0,1,361
6,1,5,78,3,94,0,1,4,362
7,1,2,47,52,80,0,0,2,363
1,0,16,42,84,15,0,0,2,364
2,0,18,52,97,74,0,0,3,365
3,0,1,73,54,39,0,0,3,1
4,0,4,78,23,5,0,1,4,2
5,0,3,49,47,86,0,0,2,3
6,1,9,44,83,92,0,0,2,4
7,1,18,31,26,58,0,0,2,5
1,0,4,75,42,62,0,0,3,6
2,0,8,72,12,76,0,0,3,7
3,0,5,22,90,32,0,0,1,8
4,0,17,34,28,11,0,0,2,9
5,0,16,53,52,10,0,0,3,10
6,1,0,62,23,7,0,0,3,11
7,1,21,21,14,80,0,0,1,12
1,0,14,5,14,71,0,0,1,13
2,0,20,78,97,60,0,1,4,14
3,0,20,7,46,92,0,0,1,15
4,0,1,44,48,69,0,0,2,16
5,0,0,24,20,18,0,0,1,17
6,1,4,55,13,23,0,0,3,18
7,1,1,18,70,98,0,0,1,19
1,0,19,85,73,91,1,1,4,20
2,0,16,73,99,24,0,0,3,21
3,0,0,81,0,100,0,1,4,22
4,0,19,82,39,6,0,1,4,23
5,0,14,89,69,90,1,1,4,24
6,1,7,50,12,85,0,0,3,25
7,1,7,76,69,25,0,1,4,26
1,0,4,60,84,89,0,0,3,27
2,0,1,85,16,90,1,1,4,28
3,0,18,18,12,6,0,0,1,29
4,0,8,37,92,39,0,0,2,30
5,0,8,19,23,33,0,0,1,31
6,1,7,55,6,48,0,0,3,32
7,1,14,99,60,71,1,1,4,33
1,0,15,52,14,8,0,0,3,34
2,0,18,60,47,64,0,0,3,35
3,0,13,33,18,10,0,0,2,36
4,0,15,88,89,32,1,1,4,37
5,0,23,92,65,36,1,1,4,38
6,1,15,70,28,90,0,0,3,39
7,1,5,50,33,43,0,0,3,40
1,0,17,86,46,86,1,1,4,41
2,0,18,28,44,81,0,0,2,42
3,0,9,56,1,19,0,0,3,43
4,0,15,64,72,38,0,0,3,44
5,0,13,48,5,52,0,0,2,45
6,1,13,29,48,60,0,0,2,46
7,1,8,46,67,71,0,0,2,47
1,0,21,73,44,27,0,0,3,48
2,0,11,92,26,63,1,1,4,49
3,0,14,4,88,84,0,0,1,50
4,0,12,0,45,95,0,0,1,51
5,0,2,47,33,8,0,0,2,52
6,1,17,53,10,90,0,0,3,53
7,1,6,11,57,18,0,0,1,54
1,0,9,4,52,94,0,0,1,55
2,0,1,22,43,39,0,0,1,56
3,0,9,42,29,57,0,0,2,57
4,0,3,35,82,1,0,0,2,58
5,0,18,84,82,70,0,1,4,59
6,1,17,0,89,51,0,0,1,60
7,1,23,94,78,84,1,1,4,61
1,0,0,98,44,4,1,1,4,62
2,0,16,17,72,12,0,0,1,63
3,0,13,13,80,41,0,0,1,64
4,0,8,94,73,18,1,1,4,65
5,0,22,77,0,10,0,1,4,66
6,1,8,54,18,58,0,0,3,67
7,1,9,90,49,58,1,1,4,68
1,0,4,8,60,35,0,0,1,69
2,0,23,92,43,6,1,1,4,70
3,0,6,80,71,38,0,1,4,71
4,0,10,80,90,16,0,1,4,72
5,0,10,70,42,55,0,0,3,73
6,1,15,59,44,94,0,0,3,74
7,1,20,87,70,53,1,1,4,75
1,0,10,32,82,5,0,0,2,76
2,0,8,10,94,69,0,0,1,77
3,0,9,17,95,1,0,0,1,78
4,0,15,98,56,95,1,1,4,79
5,0,20,87,0,39,1,1,4,80
6,1,15,70,23,51,0,0,3,81
7,1,22,91,87,69,1,1,4,82
1,0,11,97,26,90,1,1,4,83
2,0,21,71,55,83,0,0,3,84
3,0,11,16,34,15,0,0,1,85
4,0,8,47,97,20,0,0,2,86
5,0,1,59,72,6,0,0,3,87
6,1,1,7,32,91,0,0,1,88
7,1,18,75,98,36,0,0,3,89
1,0,4,56,100,73,0,0,3,90
2,0,3,10,19,54,0,0,1,91
3,0,18,81,11,34,0,1,4,92
4,0,10,47,11,98,0,0,2,93
5,0,13,3,81,14,0,0,1,94
6,1,9,9,33,42,0,0,1,95
7,1,0,55,90,36,0,0,3,96
1,0,18,36,16,54,0,0,2,97
2,0,7,60,5,62,0,0,3,98
3,0,11,78,13,92,0,1,4,99
4,0,4,62,98,33,0,0,3,100
5,0,17,17,62,17,0,0,1,101
6,1,16,67,65,93,0,0,3,102
7,1,6,89,15,8,1,1,4,103
1,0,0,6,70,94,0,0,1,104
2,0,7,62,7,54,0,0,3,105
3,0,18,27,70,67,0,0,2,106
4,0,3,42,89,38,0,0,2,107
5,0,21,46,31,48,0,0,2,108
6,1,22,4,19,68,0,0,1,109
7,1,22,24,39,16,0,0,1,110
1,0,8,63,59,41,0,0,3,111
2,0,12,61,65,63,0,0,3,112
3,0,10,85,4,21,1,1,4,113
4,0,11,32,48,35,0,0,2,114
5,0,5,1,24,50,0,0,1,115
6,1,1,14,30,85,0,0,1,116
7,1,5,7,4,33,0,0,1,117
1,0,0,36,17,62,0,0,2,118
2,0,20,0,32,37,0,0,1,119
3,0,9,77,68,32,0,1,4,120
4,0,21,93,37,65,1,1,4,121
5,0,6,7,35,54,0,0,1,122
6,1,15,70,5,35,0,0,3,123
7,1,11,87,26,99,1,1,4,124
1,0,6,84,43,11,0,1,4,125
2,0,12,17,49,45,0,0,1,126
3,0,21,82,49,34,0,1,4,127
4,0,14,50,34,69,0,0,3,128
5,0,1,73,38,85,0,0,3,129
6,1,12,4,9,41,0,0,1,130
7,1,23,36,0,4,0,0,2,131
1,0,0,6,74,2,0,0,1,132
2,0,10,86,58,24,1,1,4,133
3,0,1,26,24,47,0,0,2,134
4,0,5,1,28,52,0,0,1,135
5,0,12,45,11,39,0,0,2,136
6,1,20,17,21,82,0,0,1,137
7,1,0,45,47,6,0,0,2,138
1,0,15,78,38,19,0,1,4,139
2,0,8,60,13,40,0,0,3,140
3,0,5,86,45,43,1,1,4,141
4,0,7,33,74,89,0,0,2,142
5,0,10,2,86,34,0,0,1,143
6,1,22,52,90,95,0,0,3,144
7,1,10,78,11,35,0,1,4,145
1,0,17,6,26,71,0,0,1,146
2,0,17,18,72,77,0,0,1,147
3,0,9,78,17,79,0,1,4,148
4,0,8,21,52,68,0,0,1,149
5,0,5,78,64,38,0,1,4,150
6,1,7,39,23,11,0,0,2,151
7,1,22,74,82,24,0,0,3,152
1,0,3,61,10,82,0,0,3,153
2,0,16,61,60,31,0,0,3,154
3,0,6,25,81,72,0,0,1,155
4,0,22,60,56,72,0,0,3,156
5,0,4,20,27,79,0,0,1,157
6,1,0,87,75,57,1,1,4,158
7,1,16,17,50,35,0,0,1,159
1,0,20,43,93,10,0,0,2,160
2,0,13,51,85,37,0,0,3,161
3,0,10,67,50,2,0,0,3,162
4,0,22,82,16,87,0,1,4,163
5,0,6,36,37,73,0,0,2,164
6,1,7,32,20,10,0,0,2,165
7,1,19,50,79,99,0,0,3,166
1,0,15,84,20,94,0,1,4,167
2,0,23,27,17,79,0,0,2,168
3,0,14,45,70,83,0,0,2,169
4,0,1,3,88,56,0,0,1,170
5,0,21,48,13,34,0,0,2,171
6,1,22,44,21,75,0,0,2,172
7,1,1,12,94,62,0,0,1,173
1,0,6,89,19,3,1,1,4,174
2,0,3,50,9,37,0,0,3,175
3,0,12,81,39,66,0,1,4,176
4,0,22,81,94,88,0,1,4,177
5,0,23,56,90,52,0,0,3,178
6,1,15,56,11,2,0,0,3,179
7,1,8,31,70,38,0,0,2,180
1,0,13,17,98,33,0,0,1,181
2,0,16,40,65,41,0,0,2,182
3,0,9,5,11,24,0,0,1,183
4,0,19,64,3,79,0,0,3,184
5,0,10,78,41,47,0,1,4,185
6,1,4,44,98,89,0,0,2,186
7,1,2,41,7,82,0,0,2,187
1,0,0,82,93,100,0,1,4,188
2,0,18,11,30,2,0,0,1,189
3,0,20,84,79,44,0,1,4,190
4,0,22,5,79,10,0,0,1,191
5,0,23,81,57,3,0,1,4,192
6,1,2,37,3,62,0,0,2,193
7,1,19,31,32,69,0,0,2,194
1,0,11,41,25,53,0,0,2,195
2,0,6,35,7,66,0,0,2,196
3,0,14,83,59,7,0,1,4,197
4,0,17,13,3,13,0,0,1,198
5,0,1,51,72,86,0,0,3,199
6,1,9,83,83,48,0,1,4,200
7,1,23,99,92,14,1,1,4,201
1,0,2,88,93,81,1,1,4,202
2,0,6,27,75,100,0,0,2,203
3,0,20,57,14,88,0,0,3,204
4,0,10,66,94,34,0,0,3,205
5,0,5,78,3,96,0,1,4,206
6,1,12,33,69,96,0,0,2,207
7,1,16,4,53,47,0,0,1,208
1,0,7,83,44,85,0,1,4,209
2,0,9,30,26,20,0,0,2,210
3,0,3,15,30,19,0,0,1,211
4,0,20,36,40,63,0,0,2,212
5,0,19,18,79,43,0,0,1,213
6,1,6,31,50,24,0,0,2,214
7,1,20,6,3,29,0,0,1,215
1,0,21,9,51,55,0,0,1,216
2,0,1,17,87,21,0,0,1,217
3,0,18,21,42,83,0,0,1,218
4,0,11,53,78,57,0,0,3,219
5,0,15,72,67,25,0,0,3,220
6,1,17,92,39,13,1,1,4,221
7,1,14,51,64,42,0,0,3,222
1,0,4,81,27,22,0,1,4,223
2,0,22,95,98,14,1,1,4,224
3,0,2,86,32,79,1,1,4,225
4,0,14,81,85,80,0,1,4,226
5,0,22,65,16,87,0,0,3,227
6,1,9,39,61,71,0,0,2,228
7,1,18,67,89,8,0,0,3,229
1,0,15,77,23,81,0,1,4,230
2,0,1,11,94,58,0,0,1,231
3,0,19,69,75,91,0,0,3,232
4,0,11,19,4,2,0,0,1,233
5,0,11,70,87,4,0,0,3,234
6,1,19,27,2,64,0,0,2,235
7,1,16,61,4,85,0,0,3,236
1,0,0,1,83,56,0,0,1,237
2,0,23,37,54,22,0,0,2,238
3,0,6,19,1,76,0,0,1,239
4,0,5,94,99,62,1,1,4,240
5,0,23,22,7,2,0,0,1,241
6,1,10,38,0,65,0,0,2,242
7,1,8,73,38,96,0,0,3,243
1,0,15,33,9,94,0,0,2,244
2,0,18,47,88,33,0,0,2,245
3,0,1,52,25,66,0,0,3,246
4,0,4,25,96,87,0,0,1,247
5,0,16,79,50,16,0,1,4,248
6,1,7,12,80,5,0,0,1,249
7,1,18,0,69,95,0,0,1,250
1,0,13,47,28,67,0,0,2,251
2,0,13,0,48,67,0,0,1,252
3,0,16,6,3,95,0,0,1,253
4,0,8,92,49,89,1,1,4,254
5,0,15,25,71,71,0,0,1,255
6,1,9,86,19,52,1,1,4,256
7,1,18,43,24,12,0,0,2,257
1,0,23,71,13,73,0,0,3,258
2,0,2,58,30,30,0,0,3,259
3,0,0,72,28,91,0,0,3,260
4,0,5,86,74,88,1,1,4,261
5,0,7,20,61,46,0,0,1,262
6,1,16,29,47,87,0,0,2,263
7,1,0,100,54,29,1,1,4,264
1,0,19,69,96,93,0,0,3,265
2,0,12,7,25,87,0,0,1,266
3,0,19,18,4,16,0,0,1,267
4,0,18,22,72,6,0,0,1,268
5,0,19,81,39,53,0,1,4,269
6,1,15,4,91,59,0,0,1,270
7,1,4,66,63,94,0,0,3,271
1,0,1,53,74,10,0,0,3,272
2,0,13,63,36,90,0,0,3,273
3,0,18,36,55,20,0,0,2,274
4,0,16,54,77,54,0,0,3,275
5,0,17,17,91,30,0,0,1,276
6,1,11,14,4,82,0,0,1,277
7,1,6,59,53,96,0,0,3,278
1,0,19,47,24,41,0,0,2,279
2,0,7,2,72,43,0,0,1,280
3,0,21,69,34,36,0,0,3,281
4,0,2,41,88,20,0,0,2,282
5,0,9,21,85,20,0,0,1,283
6,1,14,25,95,1,0,0,1,284
7,1,16,64,95,78,0,0,3,285
1,0,17,35,56,73,0,0,2,286
2,0,19,59,72,17,0,0,3,287
3,0,20,74,21,50,0,0,3,288
4,0,20,14,55,65,0,0,1,289
5,0,5,88,26,25,1,1,4,290
6,1,11,100,82,87,1,1,4,291
7,1,15,88,8,69,1,1,4,292
1,0,13,56,11,21,0,0,3,293
2,0,19,79,9,58,0,1,4,294
3,0,20,69,72,53,0,0,3,295
4,0,0,92,95,62,1,1,4,296
5,0,5,3,16,5,0,0,1,297
6,1,0,16,9,76,0,0,1,298
7,1,8,0,71,42,0,0,1,299
1,0,15,40,30,84,0,0,2,300
2,0,8,55,25,28,0,0,3,301
3,0,15,81,28,38,0,1,4,302
4,0,10,100,42,71,1,1,4,303
5,0,5,53,72,78,0,0,3,304
6,1,22,28,5,13,0,0,2,305
7,1,15,24,37,61,0,0,1,306
1,0,8,40,95,9,0,0,2,307
2,0,20,57,67,62,0,0,3,308
3,0,5,30,24,46,0,0,2,309
4,0,16,68,35,52,0,0,3,310
5,0,15,37,61,82,0,0,2,311
6,1,8,79,4,90,0,1,4,312
7,1,5,29,60,99,0,0,2,313
1,0,17,12,26,75,0,0,1,314
2,0,1,63,8,91,0,0,3,315
3,0,3,2,60,23,0,0,1,316
4,0,19,42,18,26,0,0,2,317
5,0,13,59,85,46,0,0,3,318
6,1,13,81,77,37,0,1,4,319
7,1,13,44,50,27,0,0,2,320
1,0,9,93,38,49,1,1,4,321
2,0,2,16,1,97,0,0,1,322
3,0,23,21,9,86,0,0,1,323
4,0,8,24,89,99,0,0,1,324
5,0,10,11,100,78,0,0,1,325
6,1,23,83,0,38,0,1,4,326
7,1,2,36,42,17,0,0,2,327
1,0,16,48,45,75,0,0,2,328
2,0,23,34,38,92,0,0,2,329
3,0,15,74,52,83,0,0,3,330
4,0,9,84,84,73,0,1,4,331
5,0,2,66,1,19,0,0,3,332
6,1,18,88,79,4,1,1,4,333
7,1,0,28,95,95,0,0,2,334
1,0,23,24,32,31,0,0,1,335
2,0,22,95,21,84,1,1,4,336
3,0,14,48,59,37,0,0,2,337
4,0,23,17,90,4,0,0,1,338
5,0,1,5,35,45,0,0,1,339
6,1,5,75,58,3,0,0,3,340
7,1,8,72,68,96,0,0,3,341
1,0,5,76,31,40,0,1,4,342
2,0,19,29,52,66,0,0,2,343
3,0,7,98,11,21,1,1,4,344
4,0,20,68,21,1,0,0,3,345
5,0,23,19,58,8,0,0,1,346
6,1,7,44,31,33,0,0,2,347
7,1,9,15,79,45,0,0,1,348
1,0,19,12,97,39,0,0,1,349
2,0,19,10,79,19,0,0,1,350
3,0,4,48,5,38,0,0,2,351
4,0,22,38,28,55,0,0,2,352
5,0,21,1,14,22,0,0,1,353
6,1,15,18,29,97,0,0,1,354
7,1,16,9,89,24,0,0,1,355
1,0,6,21,28,88,0,0,1,356
2,0,5,63,65,63,0,0,3,357
3,0,0,84,69,68,0,1,4,358
4,0,16,51,47,90,0,0,3,359
5,0,19,66,44,84,0,0,3,360
6,1,16,40,77,48,0,0,2,361
7,1,20,46,100,28,0,0,2,362
1,0,3,83,71,16,0,1,4,363
2,0,20,1,82,63,0,0,1,364
3,0,1,68,41,49,0,0,3,365
4,0,1,46,67,17,0,0,2,1
5,0,0,57,67,89,0,0,3,2
6,1,16,59,42,57,0,0,3,3
7,1,1,3,50,46,0,0,1,4
1,0,19,17,89,92,0,0,1,5
2,0,3,63,1,7,0,0,3,6
3,0,6,36,0,98,0,0,2,7
4,0,3,89,20,88,1,1,4,8
5,0,20,0,14,22,0,0,1,9
6,1,19,48,46,5,0,0,2,10
7,1,10,5,51,58,0,0,1,11
1,0,5,74,36,77,0,0,3,12
2,0,13,38,91,90,0,0,2,13
3,0,17,17,5,27,0,0,1,14
4,0,8,80,2,46,0,1,4,15
5,0,5,89,10,81,1,1,4,16
6,1,0,51,72,32,0,0,3,17
7,1,2,19,69,41,0,0,1,18
1,0,13,21,59,72,0,0,1,19
2,0,1,26,10,1,0,0,2,20
3,0,6,28,54,25,0,0,2,21
4,0,22,92,35,35,1,1,4,22
5,0,18,91,94,13,1,1,4,23
6,1,1,36,67,21,0,0,2,24
7,1,6,5,85,67,0,0,1,25
1,0,7,44,57,75,0,0,2,26
2,0,13,9,29,53,0,0,1,27
3,0,13,35,34,28,0,0,2,28
4,0,15,67,74,18,0,0,3,29
5,0,18,57,64,19,0,0,3,30
6,1,12,9,2,99,0,0,1,31
7,1,23,26,0,7,0,0,2,32
1,0,5,91,19,65,1,1,4,33
2,0,2,21,78,32,0,0,1,34
3,0,4,20,5,67,0,0,1,35
4,0,3,69,21,44,0,0,3,36
5,0,9,92,85,32,1,1,4,37
6,1,7,33,97,8,0,0,2,38
7,1,17,48,55,91,0,0,2,39
1,0,11,52,68,26,0,0,3,40
2,0,15,57,51,89,0,0,3,41
3,0,21,17,59,88,0,0,1,42
4,0,9,13,55,73,0,0,1,43
5,0,2,13,88,43,0,0,1,44
6,1,7,64,55,82,0,0,3,45
7,1,13,80,26,80,0,1,4,46
1,0,7,32,78,82,0,0,2,47
2,0,16,62,54,76,0,0,3,48
3,0,20,42,38,29,0,0,2,49
4,0,17,20,86,71,0,0,1,50
5,0,3,32,71,48,0,0,2,51
6,1,17,38,72,30,0,0,2,52
7,1,22,44,13,6,0,0,2,53
1,0,18,86,42,6,1,1,4,54
2,0,18,58,47,56,0,0,3,55
3,0,21,14,82,86,0,0,1,56
4,0,9,62,20,40,0,0,3,57
5,0,8,58,59,19,0,0,3,58
6,1,13,55,95,56,0,0,3,59
7,1,1,23,13,96,0,0,1,60
1,0,10,50,39,98,0,0,3,61
2,0,17,7,29,50,0,0,1,62
3,0,15,70,6,30,0,0,3,63
4,0,12,7,67,70,0,0,1,64
5,0,18,100,63,81,1,1,4,65
6,1,19,37,75,48,0,0,2,66
7,1,0,0,64,67,0,0,1,67
1,0,11,90,5,88,1,1,4,68
2,0,19,32,7,97,0,0,2,69
3,0,9,60,55,24,0,0,3,70
4,0,4,69,96,71,0,0,3,71
5,0,19,41,39,1,0,0,2,72
6,1,11,76,47,83,0,1,4,73
7,1,6,2,96,20,0,0,1,74
1,0,14,33,65,56,0,0,2,75
2,0,7,72,51,73,0,0,3,76
3,0,0,26,85,24,0,0,2,77
4,0,5,94,98,41,1,1,4,78
5,0,3,76,93,30,0,1,4,79
6,1,18,67,52,70,0,0,3,80
7,1,23,13,51,42,0,0,1,81
1,0,17,88,67,3,1,1,4,82
2,0,17,31,47,93,0,0,2,83
3,0,11,39,8,22,0,0,2,84
4,0,0,85,94,54,1,1,4,85
5,0,0,24,49,13,0,0,1,86
6,1,16,22,88,36,0,0,1,87
7,1,22,21,13,3,0,0,1,88
1,0,13,64,51,68,0,0,3,89
2,0,23,98,17,0,1,1,4,90
3,0,16,16,37,34,0,0,1,91
4,0,6,94,32,53,1,1,4,92
5,0,16,40,43,8,0,0,2,93
6,1,12,4,66,46,0,0,1,94
7,1,23,40,53,54,0,0,2,95
1,0,2,3,60,44,0,0,1,96
2,0,0,35,81,2,0,0,2,97
3,0,0,20,7,21,0,0,1,98
4,0,6,52,33,95,0,0,3,99
5,0,21,53,9,40,0,0,3,100
6,1,2,40,10,63,0,0,2,101
7,1,5,15,83,32,0,0,1,102
1,0,12,63,34,56,0,0,3,103
2,0,16,23,86,6,0,0,1,104
3,0,6,26,54,84,0,0,2,105
4,0,20,13,70,99,0,0,1,106
5,0,12,28,16,4,0,0,2,107
6,1,9,8,100,61,0,0,1,108
7,1,20,83,83,46,0,1,4,109
1,0,21,37,29,99,0,0,2,110
2,0,13,74,77,38,0,0,3,111
3,0,12,49,95,97,0,0,2,112
4,0,8,16,66,95,0,0,1,113
5,0,14,42,54,45,0,0,2,114
6,1,17,18,51,62,0,0,1,115
7,1,20,15,42,84,0,0,1,116
1,0,6,93,14,14,1,1,4,117
2,0,16,3,68,66,0,0,1,118
3,0,13,37,43,12,0,0,2,119
4,0,5,56,46,31,0,0,3,120
5,0,23,88,94,76,1,1,4,121
6,1,18,94,66,97,1,1,4,122
7,1,5,42,41,17,0,0,2,123
1,0,8,61,83,77,0,0,3,124
2,0,8,10,63,76,0,0,1,125
3,0,4,10,13,62,0,0,1,126
4,0,10,22,37,26,0,0,1,127
5,0,5,6,80,43,0,0,1,128
6,1,1,100,15,61,1,1,4,129
7,1,15,21,81,16,0,0,1,130
1,0,1,19,90,93,0,0,1,131
2,0,5,99,97,18,1,1,4,132
3,0,17,2,70,30,0,0,1,133
4,0,17,51,73,57,0,0,3,134
5,0,21,51,77,100,0,0,3,135
6,1,6,55,12,53,0,0,3,136
7,1,14,51,16,58,0,0,3,137
1,0,4,11,22,7,0,0,1,138
2,0,0,9,81,56,0,0,1,139
3,0,10,74,88,70,0,0,3,140
4,0,4,35,1,44,0,0,2,141
5,0,17,69,13,39,0,0,3,142
6,1,11,21,65,16,0,0,1,143
7,1,23,11,12,9,0,0,1,144
1,0,20,9,6,2,0,0,1,145
2,0,9,25,39,63,0,0,1,146
3,0,12,8,3,95,0,0,1,147
4,0,8,98,73,2,1,1,4,148
5,0,1,10,79,72,0,0,1,149
6,1,16,68,30,40,0,0,3,150
7,1,2,10,2,7,0,0,1,151
1,0,12,78,10,56,0,1,4,152
2,0,19,99,58,32,1,1,4,153
3,0,23,100,50,57,1,1,4,154
4,0,11,95,68,88,1,1,4,155
5,0,9,93,76,30,1,1,4,156
6,1,1,36,62,4,0,0,2,157
7,1,7,24,57,87,0,0,1,158
1,0,18,43,36,4,0,0,2,159
2,0,1,54,29,31,0,0,3,160
3,0,12,41,72,89,0,0,2,161
4,0,19,84,97,2,0,1,4,162
5,0,7,93,95,19,1,1,4,163
6,1,7,74,9,82,0,0,3,164
7,1,3,59,18,37,0,0,3,165
1,0,2,20,86,92,0,0,1,166
2,0,9,38,3,54,0,0,2,167
3,0,16,51,33,9,0,0,3,168
4,0,13,95,5,81,1,1,4,169
5,0,8,100,48,43,1,1,4,170
6,1,15,28,91,31,0,0,2,171
7,1,16,40,11,42,0,0,2,172
1,0,22,40,28,1,0,0,2,173
2,0,23,6,17,54,0,0,1,174
3,0,14,53,42,60,0,0,3,175
4,0,17,45,27,10,0,0,2,176
5,0,1,25,59,32,0,0,1,177
6,1,7,33,29,92,0,0,2,178
7,1,15,75,18,45,0,0,3,179
1,0,8,56,18,1,0,0,3,180
2,0,16,14,71,6,0,0,1,181
3,0,19,76,2,49,0,1,4,182
4,0,16,92,31,5,1,1,4,183
5,0,6,92,74,96,1,1,4,184
6,1,22,39,16,34,0,0,2,185
7,1,12,21,83,43,0,0,1,186
1,0,20,6,51,1,0,0,1,187
2,0,11,47,0,0,0,0,2,188
3,0,22,1,81,30,0,0,1,189
4,0,10,98,29,43,1,1,4,190
5,0,22,64,52,11,0,0,3,191
6,1,3,84,71,6,0,1,4,192
7,1,18,26,3,10,0,0,2,193
1,0,14,40,99,92,0,0,2,194
2,0,10,11,34,88,0,0,1,195
3,0,20,38,55,82,0,0,2,196
4,0,8,33,6,94,0,0,2,197
5,0,5,43,11,35,0,0,2,198
6,1,9,11,55,69,0,0,1,199
7,1,20,99,38,95,1,1,4,200
1,0,22,59,41,93,0,0,3,201
2,0,21,51,66,65,0,0,3,202
3,0,16,7,34,27,0,0,1,203
4,0,8,26,11,84,0,0,2,204
5,0,16,98,13,49,1,1,4,205
6,1,10,73,78,71,0,0,3,206
7,1,22,84,79,16,0,1,4,207
1,0,7,45,40,64,0,0,2,208
2,0,21,5,20,82,0,0,1,209
3,0,5,62,51,3,0,0,3,210
4,0,14,2,68,65,0,0,1,211
5,0,18,10,92,46,0,0,1,212
6,1,18,2,49,15,0,0,1,213
7,1,0,83,32,66,0,1,4,214
1,0,18,12,15,0,0,0,1,215
2,0,22,20,99,47,0,0,1,216
3,0,11,43,7,72,0,0,2,217
4,0,11,15,99,8,0,0,1,218
5,0,19,4,96,29,0,0,1,219
6,1,12,42,72,26,0,0,2,220
7,1,1,74,17,18,0,0,3,221
1,0,17,3,58,13,0,0,1,222
2,0,0,60,71,11,0,0,3,223
3,0,23,59,35,15,0,0,3,224
4,0,2,94,78,3,1,1,4,225
5,0,10,77,18,63,0,1,4,226
6,1,5,84,79,36,0,1,4,227
7,1,0,1,31,55,0,0,1,228
1,0,5,30,42,10,0,0,2,229
2,0,17,98,25,49,1,1,4,230
3,0,17,30,54,74,0,0,2,231
4,0,16,15,50,91,0,0,1,232
5,0,12,59,56,40,0,0,3,233
6,1,14,69,49,20,0,0,3,234
7,1,0,0,17,92,0,0,1,235
1,0,23,4,64,43,0,0,1,236
2,0,19,35,42,14,0,0,2,237
3,0,17,78,56,25,0,1,4,238
4,0,9,56,61,42,0,0,3,239
5,0,13,42,66,13,0,0,2,240
6,1,7,64,35,78,0,0,3,241
7,1,9,87,84,5,1,1,4,242
1,0,20,54,24,16,0,0,3,243
2,0,10,13,31,2,0,0,1,244
3,0,7,24,51,98,0,0,1,245
4,0,2,50,55,59,0,0,3,246
5,0,11,100,96,45,1,1,4,247
6,1,20,61,63,75,0,0,3,248
7,1,7,54,96,10,0,0,3,249
1,0,18,81,56,6,0,1,4,250
2,0,16,1,35,53,0,0,1,251
3,0,18,58,25,28,0,0,3,252
4,0,0,47,94,94,0,0,2,253
5,0,16,34,25,64,0,0,2,254
6,1,22,5,94,87,0,0,1,255
7,1,19,61,63,48,0,0,3,256
1,0,1,40,65,34,0,0,2,257
2,0,1,7,81,36,0,0,1,258
3,0,15,54,40,30,0,0,3,259
4,0,2,39,85,10,0,0,2,260
5,0,12,39,63,36,0,0,2,261
6,1,21,72,32,65,0,0,3,262
7,1,16,64,55,83,0,0,3,263
1,0,10,88,76,95,1,1,4,264
2,0,21,64,86,66,0,0,3,265
3,0,12,14,39,88,0,0,1,266
4,0,18,53,6,11,0,0,3,267
5,0,23,62,59,8,0,0,3,268
6,1,3,91,59,98,1,1,4,269
7,1,18,47,100,81,0,0,2,270
1,0,14,25,10,2,0,0,1,271
2,0,13,23,70,55,0,0,1,272
3,0,0,66,99,17,0,0,3,273
4,0,8,93,98,1,1,1,4,274
5,0,23,19,59,95,0,0,1,275
6,1,0,97,11,59,1,1,4,276
7,1,3,56,48,29,0,0,3,277
1,0,16,92,61,55,1,1,4,278
2,0,7,78,98,10,0,1,4,279
3,0,9,52,29,54,0,0,3,280
4,0,14,79,22,28,0,1,4,281
5,0,9,84,24,0,0,1,4,282
6,1,14,91,62,37,1,1,4,283
7,1,12,59,0,55,0,0,3,284
1,0,4,90,9,86,1,1,4,285
2,0,15,83,59,72,0,1,4,286
3,0,7,36,4,76,0,0,2,287
4,0,3,27,55,18,0,0,2,288
5,0,1,70,4,69,0,0,3,289
6,1,3,54,29,63,0,0,3,290
7,1,2,90,16,92,1,1,4,291
1,0,5,33,44,68,0,0,2,292
2,0,1,31,97,37,0,0,2,293
3,0,6,39,36,65,0,0,2,294
4,0,7,100,53,75,1,1,4,295
5,0,5,20,81,70,0,0,1,296
6,1,16,22,28,9,0,0,1,297
